model,x_model,p,n1,n2,rho,block,cov_kind,decay,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_cai_liu_0.05,R_lct_cai_liu_0.05,V_lct_cai_liu_0.05,S_lct_cai_liu_0.05,fdr_lct_cai_liu_0.05,power_lct_cai_liu_0.05,t_lct_cai_liu_0.1,R_lct_cai_liu_0.1,V_lct_cai_liu_0.1,S_lct_cai_liu_0.1,fdr_lct_cai_liu_0.1,power_lct_cai_liu_0.1,t_lct_gaussian_0.05,R_lct_gaussian_0.05,V_lct_gaussian_0.05,S_lct_gaussian_0.05,fdr_lct_gaussian_0.05,power_lct_gaussian_0.05,t_lct_gaussian_0.1,R_lct_gaussian_0.1,V_lct_gaussian_0.1,S_lct_gaussian_0.1,fdr_lct_gaussian_0.1,power_lct_gaussian_0.1,t_lct_jackknife_0.05,R_lct_jackknife_0.05,V_lct_jackknife_0.05,S_lct_jackknife_0.05,fdr_lct_jackknife_0.05,power_lct_jackknife_0.05,t_lct_jackknife_0.1,R_lct_jackknife_0.1,V_lct_jackknife_0.1,S_lct_jackknife_0.1,fdr_lct_jackknife_0.1,power_lct_jackknife_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,0,14,0,14,7,0,7,0.0,0.07368421052631578,0.0,0.03684210526315789,14,0,14,10,0,10,0.0,0.07368421052631578,0.0,0.05263157894736842,4.4168351064136155,20,1,19,0.05,0.1,4.06765085633488,22,2,20,0.09090909090909091,0.10526315789473684,4.524875283633061,19,0,19,0.0,0.1,4.026969610165763,21,1,20,0.047619047619047616,0.10526315789473684,4.666089374028118,5,0,5,0.0,0.02631578947368421,4.284448691033739,6,0,6,0.0,0.031578947368421054,4.4168351064136155,20,1,19,0.05,0.1,4.4168351064136155,20,1,19,0.05,0.1,1.758106
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,1,12,2,10,3,0,3,0.16666666666666666,0.05263157894736842,0.0,0.015789473684210527,21,5,16,7,0,7,0.23809523809523808,0.08421052631578947,0.0,0.03684210526315789,4.266222971464905,22,2,20,0.09090909090909091,0.10526315789473684,3.969067583661956,25,5,20,0.2,0.10526315789473684,4.228097138670488,22,2,20,0.09090909090909091,0.10526315789473684,4.0585183835665495,24,4,20,0.16666666666666666,0.10526315789473684,4.846026956878669,3,0,3,0.0,0.015789473684210527,4.846026956878669,3,0,3,0.0,0.015789473684210527,4.4931241393254675,19,0,19,0.0,0.1,4.095115081374108,24,4,20,0.16666666666666666,0.10526315789473684,1.484138
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,2,13,0,13,7,0,7,0.0,0.06842105263157895,0.0,0.03684210526315789,13,0,13,9,0,9,0.0,0.06842105263157895,0.0,0.04736842105263158,4.238398367806095,19,1,18,0.05263157894736842,0.09473684210526316,4.139387292601665,20,1,19,0.05,0.1,4.1785433302180595,19,1,18,0.05263157894736842,0.09473684210526316,4.080930498197425,20,1,19,0.05,0.1,4.865821861470472,4,0,4,0.0,0.021052631578947368,4.289213340332465,6,0,6,0.0,0.031578947368421054,4.664594062300771,15,0,15,0.0,0.07894736842105263,4.238398367806095,19,1,18,0.05263157894736842,0.09473684210526316,1.378308
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,3,13,0,13,5,0,5,0.0,0.06842105263157895,0.0,0.02631578947368421,16,2,14,5,0,5,0.125,0.07368421052631578,0.0,0.02631578947368421,4.153376169022199,22,2,20,0.09090909090909091,0.10526315789473684,3.9421982687119224,26,5,21,0.19230769230769232,0.11052631578947368,4.328117878120225,21,1,20,0.047619047619047616,0.10526315789473684,4.019509122805834,24,3,21,0.125,0.11052631578947368,4.610648499372949,5,1,4,0.2,0.021052631578947368,4.306629738826025,6,1,5,0.16666666666666666,0.02631578947368421,4.450343857637148,20,0,20,0.0,0.10526315789473684,4.097710906513437,23,3,20,0.13043478260869565,0.10526315789473684,1.453182
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,4,12,0,12,8,0,8,0.0,0.06315789473684211,0.0,0.042105263157894736,13,1,12,9,0,9,0.07692307692307693,0.06315789473684211,0.0,0.04736842105263158,4.175680114383431,20,2,18,0.1,0.09473684210526316,4.124411501088244,21,2,19,0.09523809523809523,0.1,4.2130833880524206,17,0,17,0.0,0.08947368421052632,4.083032481464521,20,1,19,0.05,0.1,4.670021942309225,6,0,6,0.0,0.031578947368421054,4.3600109616919625,7,1,6,0.14285714285714285,0.031578947368421054,4.7874163232628195,17,1,16,0.058823529411764705,0.08421052631578947,4.175680114383431,20,2,18,0.1,0.09473684210526316,1.461346
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,5,18,2,16,9,0,9,0.1111111111111111,0.08421052631578947,0.0,0.04736842105263158,30,11,19,12,1,11,0.36666666666666664,0.1,0.08333333333333333,0.05789473684210526,4.329269445499447,22,2,20,0.09090909090909091,0.10526315789473684,3.851698875463597,39,15,24,0.38461538461538464,0.12631578947368421,4.278876120175079,22,2,20,0.09090909090909091,0.10526315789473684,3.9375306905233467,26,6,20,0.23076923076923078,0.10526315789473684,4.520508950734037,6,1,5,0.16666666666666666,0.02631578947368421,4.173353922450291,10,2,8,0.2,0.042105263157894736,4.506393327400063,21,1,20,0.047619047619047616,0.10526315789473684,4.329269445499447,22,2,20,0.09090909090909091,0.10526315789473684,1.457799
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,6,10,0,10,4,0,4,0.0,0.05263157894736842,0.0,0.021052631578947368,16,0,16,5,0,5,0.0,0.08421052631578947,0.0,0.02631578947368421,4.156767019411254,22,1,21,0.045454545454545456,0.11052631578947368,4.156767019411254,22,1,21,0.045454545454545456,0.11052631578947368,4.383740475819398,21,1,20,0.047619047619047616,0.10526315789473684,4.107606401413274,22,1,21,0.045454545454545456,0.11052631578947368,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,4.4362059191637,21,1,20,0.047619047619047616,0.10526315789473684,4.156767019411254,22,1,21,0.045454545454545456,0.11052631578947368,1.325109
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,7,15,1,14,8,0,8,0.06666666666666667,0.07368421052631578,0.0,0.042105263157894736,18,1,17,8,0,8,0.05555555555555555,0.08947368421052632,0.0,0.042105263157894736,4.300834822099481,20,2,18,0.1,0.09473684210526316,3.98317912014816,23,3,20,0.13043478260869565,0.10526315789473684,4.269172198037574,20,2,18,0.1,0.09473684210526316,4.02119503036156,22,3,19,0.13636363636363635,0.1,4.552906671375485,5,0,5,0.0,0.02631578947368421,4.191408405437116,10,0,10,0.0,0.05263157894736842,4.633305168484548,18,0,18,0.0,0.09473684210526316,4.1302716280423715,21,2,19,0.09523809523809523,0.1,1.638948
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,8,13,0,13,4,0,4,0.0,0.06842105263157895,0.0,0.021052631578947368,16,2,14,5,0,5,0.125,0.07368421052631578,0.0,0.02631578947368421,4.166231095454436,21,3,18,0.14285714285714285,0.09473684210526316,4.166231095454436,21,3,18,0.14285714285714285,0.09473684210526316,4.323301380393808,20,2,18,0.1,0.09473684210526316,4.111693325104661,21,3,18,0.14285714285714285,0.09473684210526316,4.572446014357877,4,0,4,0.0,0.021052631578947368,4.336688245354214,7,0,7,0.0,0.03684210526315789,4.54442195708146,19,2,17,0.10526315789473684,0.08947368421052632,4.380645933888875,20,2,18,0.1,0.09473684210526316,1.453986
gaussian,gaussian,250,80,120,0.6,20,block_ar1,0.6,9,14,1,13,8,0,8,0.07142857142857142,0.06842105263157895,0.0,0.042105263157894736,15,1,14,10,1,9,0.06666666666666667,0.07368421052631578,0.1,0.04736842105263158,4.676347749767561,20,1,19,0.05,0.1,4.676347749767561,20,1,19,0.05,0.1,4.596187431628475,20,1,19,0.05,0.1,4.596187431628475,20,1,19,0.05,0.1,4.9049633425337245,1,0,1,0.0,0.005263157894736842,4.45775505018659,3,0,3,0.0,0.015789473684210527,4.676347749767561,20,1,19,0.05,0.1,4.676347749767561,20,1,19,0.05,0.1,1.52506
